title,link,type_link,user_name,price,last_month_publish,date_publish,visits,room,bathroom,car_parking,suftace_area,count_photo,urgent_promotion,top_promotion,presale_promotion,address,ad_latitude,ad_longitude,extra_data,description,ad_type,ad_page,date_scraping,source
"Departamento en Venta en Vida Vallejo, Coltongo, 2 Recámaras",/a-departamentos-en-venta/coltongo/departamento-en-venta-en-vida-vallejo-coltongo-2-recamaras/1003476907000911188610009,a,Vida Vallejo,2509272,2.0,2022-05-02,368.0,2,2,1,72,19,-,Destacado,-,,19.48194,-99.15338,"['Recámara(s):2', 'Baños:2', 'Garage:1', 'Terreno:72m2', 'Vendedor(a):Inmobiliaria']",-,regular,7,2022-07-23,vivanuncios
"Departamento en Venta en Vida Vallejo, Coltongo, 3 Recámaras",/a-departamentos-en-venta/coltongo/departamento-en-venta-en-vida-vallejo-coltongo-3-recamaras/1003476906200911188610009,a,Vida Vallejo,4556943,2.0,2022-05-02,621.0,3,3,2,130,19,-,Destacado,-,,19.48194,-99.15339,"['Recámara(s):3', 'Baños:3', 'Garage:2', 'Terreno:130m2', 'Vendedor(a):Inmobiliaria']",-,regular,7,2022-07-23,vivanuncios
"Departamento en Venta en Vida Vallejo, Coltongo, 3 Recámaras",/a-departamentos-en-venta/coltongo/departamento-en-venta-en-vida-vallejo-coltongo-3-recamaras/1003476902360911188610009,a,Vida Vallejo,2998819,2.0,2022-05-02,1056.0,3,2,1,83,19,-,Destacado,-,,19.48194,-99.15339,"['Recámara(s):3', 'Baños:2', 'Garage:1', 'Terreno:83m2', 'Vendedor(a):Inmobiliaria']",-,regular,7,2022-07-23,vivanuncios
"Casa  en Preventa en  La Arboleda  en Pedro Escobedo, Querétaro, 4 Recámaras.",/a-casas-en-venta/pedro-escobedo/casa-en-preventa-en-la-arboleda-en-pedro-escobedo-queretaro-4-recamaras/1003643694130911259410009,a,La Arboleda,1220000,1.0,2022-06-01,1242.0,4,2,1,90,8,-,Destacado,-,,20.48492,-100.1337,"['Recámara(s):4', 'Baños:2', 'Garage:1', 'Terreno:90m2', 'Vendedor(a):Inmobiliaria']",-,regular,7,2022-07-23,vivanuncios
"Casa  en Preventa en  La Arboleda  en Pedro Escobedo, Querétaro, 4 Recámaras.",/a-casas-en-venta/pedro-escobedo/casa-en-preventa-en-la-arboleda-en-pedro-escobedo-queretaro-4-recamaras/1003643694100911259410009,a,La Arboleda,1320000,1.0,2022-06-01,1617.0,4,3,2,90,8,-,Destacado,-,,20.48492,-100.1337,"['Recámara(s):4', 'Baños:3', 'Garage:2', 'Terreno:90m2', 'Vendedor(a):Inmobiliaria']",-,regular,7,2022-07-23,vivanuncios
"Casa  en Preventa en  La Arboleda  en Pedro Escobedo, Querétaro, 3 Recámaras.",/a-casas-en-venta/pedro-escobedo/casa-en-preventa-en-la-arboleda-en-pedro-escobedo-queretaro-3-recamaras/1003644408160911259410009,a,La Arboleda,920000,1.0,2022-06-01,2029.0,3,1,1,90,7,-,Destacado,-,,20.48492,-100.1337,"['Recámara(s):3', 'Baños:1', 'Garage:1', 'Terreno:90m2', 'Vendedor(a):Inmobiliaria']",-,regular,7,2022-07-23,vivanuncios
"Casa  en Preventa en  La Arboleda  en Pedro Escobedo, Querétaro, 3 Recámaras.",/a-casas-en-venta/pedro-escobedo/casa-en-preventa-en-la-arboleda-en-pedro-escobedo-queretaro-3-recamaras/1003644404400911259410009,a,La Arboleda,860000,1.0,2022-06-01,3246.0,3,1,1,90,7,-,Destacado,-,,20.48492,-100.1337,"['Recámara(s):3', 'Baños:1', 'Garage:1', 'Terreno:90m2', 'Vendedor(a):Inmobiliaria']",-,regular,7,2022-07-23,vivanuncios
"Departamento en Preventa en Vida Jacarandas, Arenal, 2 recámaras.",/a-departamentos-en-venta/arenal/departamento-en-preventa-en-vida-jacarandas-arenal-2-recamaras/1003205865190911157320509,a,Vida Jacarandas,2509305,3.0,2022-04-02,3433.0,2,2,1,67,21,-,Destacado,-,,19.46802,-99.15302,"['Recámara(s):2', 'Baños:2', 'Garage:1', 'Terreno:67m2', 'Vendedor(a):Inmobiliaria']",-,regular,7,2022-07-23,vivanuncios
"Departamento en Preventa en Vida Jacarandas, Arenal, 2 recámaras.",/a-departamentos-en-venta/arenal/departamento-en-preventa-en-vida-jacarandas-arenal-2-recamaras/1003205864190911157320509,a,Vida Jacarandas,2517003,3.0,2022-04-02,1905.0,2,1,1,70,21,-,Destacado,-,,19.46802,-99.15302,"['Recámara(s):2', 'Baños:1', 'Garage:1', 'Terreno:70m2', 'Vendedor(a):Inmobiliaria']",-,regular,7,2022-07-23,vivanuncios
"Departamento en Preventa en Corintio San Isidro 680, San Pedro Xalpa, 3 recámaras.",/a-departamentos-en-venta/san-pedro-xalpa/departamento-en-preventa-en-corintio-san-isidro-680-san-pedro-xalpa-3-recamaras/1003736387240911157660809,a,Corintio San Isidro 680,3424978,8.0,2021-11-03,48.0,3,2,1,87,5,-,Destacado,-,,19.48592,-99.21288,"['Recámara(s):3', 'Baños:2', 'Garage:1', 'Terreno:87m2', 'Vendedor(a):Inmobiliaria']",-,regular,7,2022-07-23,vivanuncios
"Departamento en Preventa en Corintio San Isidro 680, San Pedro Xalpa, 2 recámaras.",/a-departamentos-en-venta/san-pedro-xalpa/departamento-en-preventa-en-corintio-san-isidro-680-san-pedro-xalpa-2-recamaras/1003736388070911157660809,a,Corintio San Isidro 680,3078414,8.0,2021-11-03,48.0,2,2,1,77,5,-,Destacado,-,,19.48592,-99.21288,"['Recámara(s):2', 'Baños:2', 'Garage:1', 'Terreno:77m2', 'Vendedor(a):Inmobiliaria']",-,regular,7,2022-07-23,vivanuncios
"Departamento en Preventa en Corintio San Isidro 680, San Pedro Xalpa, 3 recámaras.",/a-departamentos-en-venta/san-pedro-xalpa/departamento-en-preventa-en-corintio-san-isidro-680-san-pedro-xalpa-3-recamaras/1003733811180911157660809,a,Corintio San Isidro 680,5284328,9.0,2021-10-04,55.0,3,2,2,138,5,-,Destacado,-,,19.48592,-99.21288,"['Recámara(s):3', 'Baños:2', 'Garage:2', 'Terreno:138m2', 'Vendedor(a):Inmobiliaria']",-,regular,7,2022-07-23,vivanuncios
"Departamento en Preventa en Corintio San Isidro 680, San Pedro Xalpa, 3 recámaras.",/a-departamentos-en-venta/san-pedro-xalpa/departamento-en-preventa-en-corintio-san-isidro-680-san-pedro-xalpa-3-recamaras/1003733801840911157660809,a,Corintio San Isidro 680,3490732,9.0,2021-10-04,42.0,3,2,1,91,5,-,Destacado,-,,19.48592,-99.21288,"['Recámara(s):3', 'Baños:2', 'Garage:1', 'Terreno:91m2', 'Vendedor(a):Inmobiliaria']",-,regular,7,2022-07-23,vivanuncios
"Departamentos en Venta en Eje Central 321 en Benito Juárez, CDMX ",/d-desarrollo-eje-central-321/62c8b3d1cb0ef38ff6cb6309,d,Eje Central 321,3120800,0.0,2022-07-01,0.0,2,0,0,63157,4,-,-,Nuevo - Preventa,"Eje Central 321, Portales Norte, Benito Juárez, CDMX",0.0,0.0,"['Estatus:Preventa', 'Metros Cuadrados:63-157m2', 'Recámara(s):2', 'Baños:1-2', 'Medio Baños:—', 'Garage:1-2', 'Año de Construccion:—', 'Superficie Total:—', 'Entrega:abril 2023']","Eje Central 321 será el desarrollo que enmarcara tu futuro hogar. 

Con una ubicación envidiable, viviras con tu familia un sin fin de comercios a tu alrededor, paseos a pocas cuadras de parque de los venados, escuelas, plazas comerciales y todo cobijados por una colonia consolidada y de tradición en la CDMX.

Con Salida al sur de la ciudad por Tlalpan o al centro por Eje Central.

Departamentos con espacios pensados para familias modernas y acabados de alta gama.

Conoce el que podría ser tu futuro hogar.

Class",promoted,8,2022-07-23,vivanuncios
"Departamentos en Venta en Select Living Martín Carrera en GAM, CDMX",/d-desarrollo-select-living-martin-carrera/62852ba0cb0e114eee9dc194,d,Select Living Martín Carrera,2222586,0.0,2022-07-01,0.0,2,0,0,98,4,-,-,Nuevo - Preventa,"Av. Gral. Martin Carrera 26, Martín Carrera, Gustavo A. Madero, 07070, CDMX",0.0,0.0,"['Estatus:Preventa', 'Metros Cuadrados:98m2', 'Recámara(s):2', 'Baños:1', 'Medio Baños:1', 'Garage:1', 'Año de Construccion:—', 'Superficie Total:—', 'Entrega:abril 2023']","Vivienda Vertical

	 GRUPO UBK",promoted,8,2022-07-23,vivanuncios
"Departamentos en Venta en Mitla 378 en Benito Juárez, CDMX ",/d-desarrollo-mitla-378/620edffdcb0e12a4db878953,d,Mitla 378,4235490,0.0,2022-07-01,0.0,23,0,0,70197,6,-,-,Nuevo - Preventa,"Mitla 378, Narvarte Oriente, Benito Juárez, 03020 Ciudad de México",0.0,0.0,"['Estatus:Preventa', 'Metros Cuadrados:70-197m2', 'Recámara(s):2-3', 'Baños:2-3', 'Medio Baños:—', 'Garage:1-2', 'Año de Construccion:—', 'Superficie Total:—', 'Entrega:mayo 2023']","Experimenta vivir en un desarrollo que incluye elementos de la mejor calidad en diseño, contando con detalles modernos y un ambiente lleno de armonía. 

Dale un giro a tu vida y la de tus seres queridos. 

En este lugar tu tranquilidad y gozo son la prioridad, es por eso que incluye que incluye todas las comodidades para que vivas como siempre lo has deseado. La colonia Narvarte es una gran zona emblemática de la Ciudad de Mexico dentro de la alcaldía Benito Juarez, donde se concentra una gran cantidad de actividad económica, comercial y servicios de todo tipo. 

Caracterizada por sus hermosas y amplias calles con áreas verdes y avenidas con grandes camellones alineados con palmeras , así como sus casas de estilo arte déco y colonial californiano.

DECA Bienes Raíces",promoted,8,2022-07-23,vivanuncios
"Departamentos en Venta en Cervantes 101 en Miguel Hidalgo, CDMX",/d-desarrollo-cervantes-101/62cc7981cb0e849cf09be619,d,Cervantes 101,4035000,0.0,2022-07-01,0.0,13,0,0,51132,15,-,-,Nuevo - Preventa,"Blvd. Miguel de Cervantes Saavedra 101 Granada Miguel Hidalgo, CDMX",0.0,0.0,"['Estatus:Preventa', 'Metros Cuadrados:51-132m2', 'Recámara(s):1-3', 'Baños:1-2', 'Medio Baños:—', 'Garage:1-2', 'Año de Construccion:—', 'Superficie Total:—', 'Entrega:—']","El desarrollo para vivir Polanco, Cervantes 101 será un referente de la zona con su maravillosa ubicación ya que podrás vivir Polanco caminando. 

En la misma calle que Museo Soumaya, plaza Carso y a espaldas de Ejercito Nacional, experimentarás el gozo de lo que la zona ofrece para ti. 


Departamentos desde 51m² hasta 114m² con las mejores amenidades de la zona, como Kids lab, teatro y piscina para niños, Green bar, Sauna, GYM y jet pool para ti y tus visitas, entre otras muchas mas amenidades. 

Conoce la que será tu opción A para elegir el hogar de tus sueños.


		 Class Experiencia Inmobiliaria",promoted,8,2022-07-23,vivanuncios
CASA EN VENTA CERCA DE FUERTE VENTURA,/a-casas-en-venta/mexquitic-de-carmona/casa-en-venta-cerca-de-fuerte-ventura/1003798821920910878939809,a,Miriam Vega,2900000,2.0,2022-05-02,10.0,3,2,2,0,16,Urgente,Destacado,-,,22.18373,-101.0519,"['Recámara(s):3', 'Baños:2', 'Medio Baños:1', 'Garage:2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"Departamento en Venta en Acapulco, Zona Diamante Barra Vieja, 3 recámaras, Club de Playa ¡ÚLTIMOS 2!",/a-departamentos-en-venta/acapulco-de-juarez-guerrero/departamento-en-venta-en-acapulco-zona-diamante-barra-vieja-3-recamaras-club-de-playa-ultimos-2/1003554552910911023060209,a,Venta de Casas y Departamentos en Acapulco,1493600,2.0,2022-05-02,115.0,3,1,1,70,23,-,Destacado,-,,16.72631,-99.70043,"['Recámara(s):3', 'Baños:1', 'Garage:1', 'Terreno:70m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"CASA EN VENTA EN MÉRIDA, CON ALBERCA, TOTALMENTE EQUIPADA, PRANA DZITYÁ.",/a-casas-en-venta/merida/casa-en-venta-en-merida-con-alberca-totalmente-equipada-prana-dzitya/1003809190220911328060309,a,Ehomes Asesores AB,5500000,15.0,2021-04-07,25.0,3,4,3,530,17,-,Destacado,-,,21.06194,-89.66715,"['Recámara(s):3', 'Baños:4+', 'Medio Baños:2', 'Garage:3', 'Terreno:530m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"Departamento en Preventa en Corintio San Isidro 680, San Pedro Xalpa, 3 recámaras.",/a-departamentos-en-venta/san-pedro-xalpa/departamento-en-preventa-en-corintio-san-isidro-680-san-pedro-xalpa-3-recamaras/1003733803690911157660809,a,Corintio San Isidro 680,5437025,9.0,2021-10-04,65.0,3,2,2,143,5,-,Destacado,-,,19.48592,-99.21288,"['Recámara(s):3', 'Baños:2', 'Garage:2', 'Terreno:143m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"Departamento en Preventa en Corintio San Isidro 680, San Pedro Xalpa, 3 recámaras.",/a-departamentos-en-venta/san-pedro-xalpa/departamento-en-preventa-en-corintio-san-isidro-680-san-pedro-xalpa-3-recamaras/1003733803670911157660809,a,Corintio San Isidro 680,3544537,9.0,2021-10-04,54.0,3,2,1,91,5,-,Destacado,-,,19.48592,-99.21288,"['Recámara(s):3', 'Baños:2', 'Garage:1', 'Terreno:91m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"Departamento en Preventa en Corintio San Isidro 680, San Pedro Xalpa, 2 recámaras.",/a-departamentos-en-venta/san-pedro-xalpa/departamento-en-preventa-en-corintio-san-isidro-680-san-pedro-xalpa-2-recamaras/1003736390200911157660809,a,Corintio San Isidro 680,2565227,8.0,2021-11-03,115.0,2,2,1,66,5,-,Destacado,-,,19.48592,-99.21288,"['Recámara(s):2', 'Baños:2', 'Garage:1', 'Terreno:66m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"Departamento en Preventa en Corintio San Isidro 680, San Pedro Xalpa, 2 recámaras.",/a-departamentos-en-venta/san-pedro-xalpa/departamento-en-preventa-en-corintio-san-isidro-680-san-pedro-xalpa-2-recamaras/1003733811160911157660809,a,Corintio San Isidro 680,2708619,9.0,2021-10-04,103.0,2,2,1,69,5,-,Destacado,-,,19.48592,-99.21288,"['Recámara(s):2', 'Baños:2', 'Garage:1', 'Terreno:69m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"Villa en Venta en Acapulco, Guerrero, Zona Diamante, Blvd. de Las Naciones junto a Viaducto Diamante",/a-departamentos-en-venta/granjas-del-marques/villa-en-venta-en-acapulco-guerrero-zona-diamante-blvd-de-las-naciones-junto-a-viaducto-diamante/1003562522450911023060209,a,Venta de Casas y Departamentos en Acapulco,3090000,2.0,2022-05-02,631.0,3,3,2,128,12,-,Destacado,-,,16.78997,-99.80059,"['Recámara(s):3', 'Baños:3', 'Garage:2', 'Terreno:128m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"Departamento en Preventa en Residencial Congreso, GAM, CDMX, 2 Recámaras",/a-departamentos-en-venta/bondojito/departamento-en-preventa-en-residencial-congreso-gam-cdmx-2-recamaras/1003689729350911285560109,a,RESIDENCIAL CONGRESO,1939800,1.0,2022-06-01,353.0,2,1,1,56,20,-,Destacado,-,,19.46526,-99.10889,"['Recámara(s):2', 'Baños:1', 'Garage:1', 'Terreno:56m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"VENTA  DEPARTAMENTO EN JURIQUILLA, QUERETARO A ESTRENAR",/a-departamentos-en-venta/juriquilla/venta-departamento-en-juriquilla-queretaro-a-estrenar/1003812037790911126470609,a,Conin Real Estate,2369800,4.0,2022-03-03,7.0,2,2,2,0,6,-,Destacado,-,,20.6962,-100.45065,"['Recámara(s):2', 'Baños:2', 'Garage:2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"Departamento en Preventa en Residencial Congreso, GAM, CDMX, 2 Recámaras",/a-departamentos-en-venta/bondojito/departamento-en-preventa-en-residencial-congreso-gam-cdmx-2-recamaras/1003689737200911285560109,a,RESIDENCIAL CONGRESO,2052100,1.0,2022-06-01,225.0,2,2,1,55,20,-,Destacado,-,,19.46526,-99.10889,"['Recámara(s):2', 'Baños:2', 'Garage:1', 'Terreno:55m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"Departamento en Preventa en Residencial Congreso, GAM, CDMX, 2 Recámaras",/a-departamentos-en-venta/bondojito/departamento-en-preventa-en-residencial-congreso-gam-cdmx-2-recamaras/1003689728760911285560109,a,RESIDENCIAL CONGRESO,2057080,1.0,2022-06-01,198.0,2,2,1,58,21,-,Destacado,-,,19.46526,-99.10889,"['Recámara(s):2', 'Baños:2', 'Garage:1', 'Terreno:58m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"Departamento en Preventa en Residencial Congreso, GAM, CDMX, 2 Recámaras",/a-departamentos-en-venta/bondojito/departamento-en-preventa-en-residencial-congreso-gam-cdmx-2-recamaras/1003689740610911285560109,a,RESIDENCIAL CONGRESO,2101280,1.0,2022-06-01,205.0,2,2,1,59,20,-,Destacado,-,,19.46526,-99.10889,"['Recámara(s):2', 'Baños:2', 'Garage:1', 'Terreno:59m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"Departamento en Preventa en Residencial Congreso, GAM, CDMX, 2 Recámaras",/a-departamentos-en-venta/bondojito/departamento-en-preventa-en-residencial-congreso-gam-cdmx-2-recamaras/1003689756010911285560109,a,RESIDENCIAL CONGRESO,2201360,1.0,2022-06-01,366.0,2,2,1,64,20,-,Destacado,-,,19.46526,-99.10889,"['Recámara(s):2', 'Baños:2', 'Garage:1', 'Terreno:64m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"Departamento en Preventa en Residencial Congreso, GAM, CDMX, 2 Recámaras",/a-departamentos-en-venta/bondojito/departamento-en-preventa-en-residencial-congreso-gam-cdmx-2-recamaras/1003689741170911285560109,a,RESIDENCIAL CONGRESO,2126080,1.0,2022-06-01,192.0,2,2,1,61,20,-,Destacado,-,,19.46526,-99.10889,"['Recámara(s):2', 'Baños:2', 'Garage:1', 'Terreno:61m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"Departamento en Preventa en Corintio Vallejo, Santa Cruz de las Salinas, 2 recámaras.",/a-departamentos-en-venta/santa-cruz-de-las-salinas/departamento-en-preventa-en-corintio-vallejo-santa-cruz-de-las-salinas-2-recamaras/1003707346100911157650409,a,Corintio Vallejo,2637531,1.0,2022-06-01,127.0,2,2,1,73,20,-,Destacado,-,,19.4863,-99.15469,"['Recámara(s):2', 'Baños:2', 'Garage:1', 'Terreno:73m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"Departamento en Preventa en Corintio Vallejo, Santa Cruz de las Salinas, 3 recámaras.",/a-departamentos-en-venta/santa-cruz-de-las-salinas/departamento-en-preventa-en-corintio-vallejo-santa-cruz-de-las-salinas-3-recamaras/1003442859930911157650409,a,Corintio Vallejo,4680863,2.0,2022-05-02,293.0,3,3,2,134,21,-,Destacado,-,,19.4863,-99.15469,"['Recámara(s):3', 'Baños:3', 'Garage:2', 'Terreno:134m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
"Departamento en Preventa en Corintio Vallejo, Santa Cruz de las Salinas, 2 recámaras.",/a-departamentos-en-venta/santa-cruz-de-las-salinas/departamento-en-preventa-en-corintio-vallejo-santa-cruz-de-las-salinas-2-recamaras/1003598491230911157650409,a,Corintio Vallejo,2408690,1.0,2022-06-01,152.0,2,1,1,62,20,-,Destacado,-,,19.4863,-99.15469,"['Recámara(s):2', 'Baños:1', 'Garage:1', 'Terreno:62m2', 'Vendedor(a):Inmobiliaria']",-,regular,8,2022-07-23,vivanuncios
